"","P09923","P05186","P05187","P10696","A0A2R8YDJ8.1","A0A2R8YDJ8.2","O60729.1","O60729.2","Q16667","P28562","Q05923","Q13115","Q16690","Q9Y6W6","O75319","Q9UNI6","Q6FI36","Q8NEJ0","Q9H596","Q4G0W2","Q9H1R2","Q9NRW4","Q8WTR2","Q9BVJ7","Q68J44","Q9UII6","Q9BV47","Q5VZP5","P51452","Q16828","Q16829","Q99956","Q9BY84","Q13202","O95278","Q93096","Q12974","O75365","A2A3K4","Q8WUK0","O60942","Q8WYL5","Q76I76","Q8TE77","Q8WUJ0","Q9Y6J8","Q13496","Q13613","Q13614","Q9NXD2","A4FU01","Q9C0I1","Q8NCE2","Q13615","Q9NYA4","O95248","Q86WG5","Q9Y217","Q9Y216","Q96EF0","Q96QG7","Q9ULE6.1","Q9ULE6.2","O75061","O14976","P60484","Q9HBL0","Q63HR2","Q68CZ2","P56180","Q6XPS3","P18031","P17706","Q05209","Q99952","Q9Y2R2","Q12923","Q4JDL3","Q15678","Q16825","Q9H3S7","P26045","P29074","P54829","P35236","Q15256","Q06124","Q53XS4","Q6IQ43","P18433.1","P18433.2","P23469.1","P23469.2","P23467","Q9HD43","Q12913","Q16827","A0A087WZU1","P08575.1","P08575.2","Q2HXI4.1","Q2HXI4.2","P10586.1","P10586.2","Q13332.1","Q13332.2","P23470.1","P23470.2","P23471.1","P23471.2","Q5TG12.1","Q5TG12.2","P28827.1","P28827.2","O14522.1","O14522.2","Q92729.1","Q92729.2","Q16849","Q92932","Q92562","Q9Y2H2","Q9NTJ5","O43426","O15056","P24666","Q9NP77","P30304","P30305","P30307","Q99502","O00167","Q99504","A0A0S2Z3Q2","Q05D32","O95476","Q9Y5B0","Q9GZU7","O14595","O15194","Q3ZCQ8","Q8WVY7","Q9BXW7","Q9H0R4","Q9H008","Q96GD0","A6NDG6","P16118","O60825","Q16875","Q16877","P07738","Q6FHU2","P15259","Q8N0Y7","Q96HS1","P57075","Q8TF42","Q9NQ88","P11117","P15309","Q9BZG2","Q9NPH0","Q9UNW1","B7WPL9","A0A087WZV0","Q8TE99","Q9NRX4","Q9H0C8","Q9P0J1","Q9P2J9","O60346","Q6ZVD8","A8MPX8","P35813","O75688","Q8N819","O15297","Q8WY54","P49593","O15355","Q9ULR3","Q5JR12","Q96MI6","Q8N3J5","Q5SGD2","Q8NI37","Q15750","P13686","Q6ZNF0","P62136","P62140","P36873","P67775","P62714","Q08209","P16298","P48454","P60510","P53041","O00743","O14829","O14830","Q8IXW5"
"Q05923",0.88356,0.86378,0.88837,0.88479,0.83737,0.85275,0.82395,0.85102,0.82775,0.23118,0,0.2459,0.36241,0.55758,0.84662,0.75557,0.51568,0.56632,0.58393,0.58936,0.7081,0.67142,0.5701,0.83529,0.83412,0.837,0.76362,0.75673,0.83659,0.5894,0.57651,0.65056,0.72062,0.74781,0.80729,0.82317,0.80819,0.78551,0.81707,0.8324,0.84545,0.50409,0.46312,0.54864,0.68193,0.69203,0.89956,0.88134,0.88399,0.88843,0.88449,0.89364,0.86128,0.88392,0.87644,0.86155,0.88035,0.8593,0.87989,0.86275,0.87556,0.86301,0.8727,0.85548,0.77522,0.84479,0.82816,0.84579,0.84141,0.86309,0.85243,0.83825,0.85315,0.88237,0.87418,0.88114,0.8815,0.87095,0.86667,0.84342,0.88067,0.84839,0.84521,0.86423,0.88039,0.88075,0.85607,0.87836,0.86673,0.87689,0.85821,0.85019,0.84862,0.87362,0.86227,0.81658,0.87271,0.85946,0.88146,0.88564,0.87138,0.84131,0.86342,0.86561,0.86686,0.8485,0.88585,0.83416,0.86137,0.86778,0.86158,0.88076,0.8861,0.88067,0.85796,0.88361,0.87032,0.84871,0.84273,0.82741,0.86558,0.86485,0.8794,0.89078,0.88068,0.8562,0.85452,0.83459,0.83554,0.84173,0.8768,0.85569,0.87038,0.87145,0.85306,0.8479,0.83106,0.82525,0.8281,0.83726,0.84849,0.8305,0.89737,0.86094,0.87207,0.8713,0.86694,0.86909,0.85129,0.83206,0.83872,0.87355,0.86778,0.8491,0.85276,0.82213,0.86954,0.85745,0.86364,0.88377,0.86827,0.8937,0.87878,0.89549,0.8815,0.87549,0.8915,0.83937,0.86505,0.86495,0.87303,0.86609,0.85025,0.8874,0.83625,0.8319,0.85269,0.88152,0.8779,0.89025,0.89161,0.88304,0.87706,0.88813,0.8407,0.8382,0.85537,0.86308,0.87753,0.86581,0.8578,0.86791,0.86741,0.86908,0.87306,0.8471,0.84527,0.82563,0.85687,0.87762,0.88007,0.88991,0.88614,0.80849
"Q13115",0.89671,0.88779,0.88866,0.8839,0.79067,0.8401,0.86005,0.82379,0.81709,0.11319,0.2459,0,0.27712,0.60277,0.81912,0.77104,0.53744,0.54136,0.56321,0.57954,0.70257,0.65179,0.5724,0.82531,0.83039,0.81228,0.77874,0.72987,0.78184,0.67256,0.64597,0.64883,0.6886,0.66666,0.80151,0.84676,0.83476,0.83649,0.83754,0.82898,0.84459,0.52871,0.48181,0.51116,0.69542,0.75185,0.89031,0.88395,0.88783,0.87734,0.88885,0.89408,0.87051,0.87523,0.87469,0.8902,0.8701,0.89068,0.88915,0.87351,0.87791,0.86959,0.89835,0.85485,0.80693,0.8196,0.79512,0.87047,0.82344,0.86156,0.86215,0.86805,0.87591,0.86411,0.88594,0.88604,0.86815,0.86393,0.86585,0.84887,0.8699,0.86959,0.87398,0.8858,0.87809,0.86074,0.86187,0.87524,0.85636,0.86632,0.87521,0.86837,0.87077,0.86454,0.86409,0.8434,0.87437,0.87461,0.87741,0.86532,0.87796,0.85211,0.87,0.87558,0.87639,0.84885,0.85716,0.84259,0.86488,0.88889,0.88406,0.87885,0.86949,0.87337,0.85928,0.88368,0.87346,0.86092,0.83928,0.83999,0.87024,0.82759,0.88869,0.87719,0.87169,0.81697,0.83526,0.82395,0.85378,0.85617,0.84067,0.86098,0.86971,0.87812,0.81637,0.82931,0.8518,0.85802,0.82736,0.82801,0.84167,0.82212,0.88523,0.84864,0.84619,0.86573,0.85934,0.87144,0.85261,0.87494,0.85566,0.87301,0.87246,0.83311,0.86637,0.83358,0.86865,0.80165,0.86144,0.87332,0.87921,0.87779,0.88581,0.88624,0.87763,0.85851,0.88444,0.80746,0.889,0.85478,0.87972,0.86156,0.87617,0.89762,0.8729,0.86326,0.87539,0.87726,0.86776,0.85661,0.86801,0.88704,0.88074,0.88743,0.86117,0.88196,0.84665,0.8619,0.865,0.84301,0.88772,0.85446,0.8573,0.85765,0.87102,0.86265,0.85924,0.85052,0.84248,0.87069,0.87676,0.8807,0.89671,0.82851
"Q16690",0.88814,0.87579,0.89444,0.89365,0.79718,0.84603,0.83332,0.83228,0.80996,0.28192,0.36241,0.27712,0,0.57246,0.86036,0.6932,0.54375,0.55573,0.54377,0.52753,0.63698,0.58,0.5722,0.84242,0.84302,0.781,0.78224,0.75136,0.76775,0.66208,0.69744,0.66367,0.64495,0.67061,0.83092,0.8429,0.82799,0.82932,0.81588,0.79007,0.85059,0.49983,0.48355,0.51032,0.67865,0.72497,0.87542,0.89224,0.87154,0.86473,0.88411,0.8844,0.86138,0.88808,0.88426,0.88141,0.887,0.86896,0.87326,0.8675,0.87412,0.87439,0.87806,0.85839,0.84495,0.85088,0.80935,0.84047,0.8261,0.85512,0.83169,0.84869,0.84453,0.85035,0.85638,0.88027,0.87888,0.8504,0.83437,0.88572,0.87497,0.83884,0.86702,0.88542,0.87744,0.87374,0.85627,0.8703,0.88971,0.8736,0.87539,0.85431,0.86646,0.86086,0.85393,0.86533,0.86631,0.87445,0.87124,0.85427,0.85248,0.88031,0.84219,0.87853,0.85277,0.87445,0.88305,0.85483,0.86956,0.88116,0.8493,0.88803,0.85728,0.86373,0.84458,0.84414,0.87038,0.87488,0.8649,0.84239,0.87643,0.84476,0.88067,0.87862,0.87357,0.83529,0.84243,0.84446,0.82201,0.78999,0.86133,0.84596,0.86141,0.85806,0.8219,0.83632,0.8437,0.85131,0.83676,0.82892,0.85745,0.85104,0.89816,0.85364,0.84062,0.87316,0.87386,0.85176,0.86579,0.83728,0.85491,0.84492,0.87056,0.86527,0.86357,0.84801,0.86575,0.77352,0.86305,0.88433,0.86874,0.88771,0.86459,0.89144,0.88565,0.8917,0.87601,0.83073,0.87112,0.87997,0.87946,0.86401,0.845,0.88155,0.89021,0.86761,0.85512,0.881,0.82765,0.85343,0.88902,0.85141,0.84527,0.88486,0.86121,0.8665,0.84549,0.87554,0.83814,0.87773,0.86328,0.86944,0.86363,0.85387,0.86324,0.85628,0.86873,0.86098,0.86733,0.89246,0.88201,0.88535,0.89431,0.83711
"Q9Y6W6",0.8728,0.88906,0.87219,0.88872,0.79089,0.85851,0.77183,0.85033,0.84394,0.56576,0.55758,0.60277,0.57246,0,0.85341,0.75799,0.64908,0.62242,0.65008,0.71009,0.70342,0.65717,0.65729,0.84174,0.83286,0.76096,0.79349,0.76673,0.78622,0.37727,0.39087,0.40066,0.62354,0.70235,0.81094,0.80911,0.83381,0.84854,0.83693,0.80845,0.86254,0.59999,0.61576,0.66469,0.65693,0.68832,0.878,0.8869,0.87623,0.88932,0.89146,0.89699,0.86085,0.87975,0.88112,0.90414,0.88568,0.88592,0.8793,0.89321,0.88629,0.87433,0.88677,0.85772,0.87302,0.86334,0.85648,0.87415,0.85473,0.86755,0.85624,0.87701,0.86249,0.86608,0.85801,0.8755,0.88402,0.8656,0.8794,0.88163,0.87786,0.87848,0.88434,0.87327,0.87101,0.8731,0.88343,0.87865,0.88082,0.86657,0.8742,0.85772,0.87324,0.87641,0.87684,0.87419,0.87505,0.87993,0.87275,0.87508,0.88792,0.86401,0.8884,0.86505,0.87665,0.86596,0.87707,0.87096,0.87737,0.85435,0.87796,0.87191,0.84005,0.872,0.83908,0.87102,0.84967,0.85692,0.8372,0.87351,0.87606,0.87417,0.87307,0.85955,0.85596,0.84248,0.84403,0.79105,0.85553,0.80496,0.85841,0.84865,0.87625,0.87738,0.84072,0.85217,0.86056,0.81332,0.81833,0.80786,0.84161,0.82555,0.8888,0.86313,0.86668,0.88525,0.86568,0.86296,0.84082,0.85305,0.86959,0.84124,0.87349,0.85275,0.87134,0.8536,0.84203,0.82727,0.87599,0.86077,0.89195,0.88029,0.88228,0.87679,0.88634,0.89425,0.89927,0.83764,0.87715,0.87563,0.87835,0.86483,0.87724,0.89259,0.88276,0.8524,0.86546,0.89832,0.8574,0.8609,0.88712,0.88981,0.85995,0.87347,0.86509,0.84034,0.85807,0.86618,0.87255,0.8724,0.88138,0.87939,0.86839,0.86619,0.85939,0.87243,0.86869,0.85246,0.87594,0.85735,0.85805,0.87543,0.89816,0.85725
"O75319",0.88943,0.89461,0.89311,0.89448,0.82809,0.84245,0.83096,0.84099,0.80228,0.85547,0.84662,0.81912,0.86036,0.85341,0,0.83889,0.86061,0.85307,0.84686,0.81753,0.85213,0.80532,0.80307,0.80494,0.85405,0.84499,0.85897,0.83859,0.84448,0.8293,0.85876,0.85115,0.77018,0.79036,0.83216,0.84107,0.85222,0.8708,0.84968,0.79476,0.65812,0.85094,0.83297,0.82116,0.84705,0.80018,0.88434,0.87108,0.88294,0.896,0.88679,0.88858,0.83993,0.87979,0.88565,0.88618,0.87502,0.88083,0.87119,0.87359,0.87633,0.88787,0.87747,0.8695,0.8574,0.86492,0.85405,0.85589,0.85654,0.84827,0.85945,0.85548,0.86033,0.88999,0.87578,0.87521,0.86929,0.84313,0.87177,0.88089,0.86026,0.88315,0.8717,0.84835,0.84958,0.87633,0.87962,0.86989,0.8742,0.87837,0.84554,0.84329,0.86678,0.87132,0.87084,0.87318,0.87245,0.87089,0.86353,0.88238,0.876,0.86645,0.87358,0.84892,0.87242,0.86015,0.84063,0.85994,0.86962,0.85214,0.87032,0.87164,0.87535,0.86871,0.83275,0.88911,0.87535,0.84701,0.85291,0.85109,0.86444,0.86933,0.87052,0.84418,0.86459,0.83446,0.85468,0.85618,0.8196,0.84021,0.87794,0.87145,0.87771,0.88493,0.84102,0.86908,0.8626,0.84824,0.86321,0.84349,0.84233,0.86042,0.87597,0.85353,0.86756,0.88171,0.87487,0.87745,0.84977,0.86558,0.87595,0.88011,0.85494,0.86641,0.85494,0.87577,0.83887,0.87163,0.87091,0.85909,0.88791,0.81862,0.87556,0.89199,0.89915,0.88268,0.88742,0.85498,0.87877,0.88347,0.86328,0.87055,0.86317,0.88124,0.88009,0.88871,0.87573,0.88162,0.86902,0.8879,0.88503,0.88251,0.8709,0.87107,0.87866,0.86642,0.85129,0.89606,0.86047,0.8733,0.87262,0.86879,0.88077,0.89057,0.88674,0.85302,0.8477,0.85768,0.8859,0.86071,0.87615,0.88561,0.9052,0.83563
"Q9UNI6",0.87967,0.88583,0.88094,0.88973,0.85136,0.84161,0.83538,0.84946,0.83692,0.75781,0.75557,0.77104,0.6932,0.75799,0.83889,0,0.74665,0.71753,0.76593,0.6132,0.71119,0.69779,0.6991,0.70586,0.77066,0.70029,0.80004,0.80665,0.76016,0.71798,0.71539,0.72603,0.66124,0.71393,0.78726,0.8455,0.84468,0.84521,0.84281,0.7472,0.80901,0.77024,0.7621,0.76599,0.7396,0.76666,0.88777,0.88777,0.88002,0.8943,0.89123,0.88778,0.85774,0.89086,0.88992,0.90585,0.88352,0.89707,0.86648,0.87269,0.88525,0.8742,0.8943,0.8542,0.85395,0.86673,0.83193,0.833,0.8524,0.85075,0.84882,0.88261,0.88041,0.86034,0.83883,0.8436,0.87604,0.89006,0.86913,0.84317,0.85301,0.85521,0.87155,0.87996,0.85675,0.85549,0.86689,0.86728,0.84963,0.86495,0.87089,0.82913,0.84553,0.87465,0.83881,0.87316,0.81127,0.86105,0.86939,0.87167,0.8308,0.86476,0.82801,0.83438,0.82881,0.86902,0.85122,0.86939,0.84965,0.86092,0.87934,0.8564,0.85291,0.83019,0.84606,0.83779,0.86397,0.86962,0.88825,0.87845,0.86113,0.89483,0.87507,0.8665,0.84949,0.83647,0.83458,0.8382,0.81993,0.85617,0.8606,0.86193,0.87017,0.82621,0.82306,0.79391,0.80321,0.84753,0.84205,0.82724,0.82714,0.85838,0.89722,0.86242,0.85586,0.86635,0.86892,0.84605,0.85375,0.86072,0.85547,0.88911,0.85289,0.8628,0.84924,0.85975,0.8759,0.88821,0.84907,0.8596,0.87615,0.87543,0.87626,0.88691,0.90263,0.89203,0.8868,0.80267,0.8623,0.87302,0.8972,0.82766,0.87065,0.89021,0.88627,0.86375,0.86627,0.88181,0.87315,0.85305,0.88361,0.87463,0.87436,0.8689,0.86457,0.87455,0.85032,0.87349,0.86665,0.86465,0.87971,0.86855,0.88518,0.87273,0.85811,0.86181,0.85901,0.85159,0.87547,0.88779,0.86971,0.84343,0.88172,0.81685
"Q6FI36",0.88505,0.88177,0.89641,0.87904,0.83358,0.836,0.83762,0.84847,0.84233,0.51018,0.51568,0.53744,0.54375,0.64908,0.86061,0.74665,0,0.3906,0.35954,0.50842,0.62201,0.62822,0.56427,0.77738,0.72409,0.7939,0.78796,0.74205,0.75511,0.71875,0.70101,0.73114,0.6136,0.67971,0.77498,0.79713,0.82721,0.79988,0.84029,0.82127,0.86052,0.59413,0.59423,0.59077,0.69665,0.74676,0.86149,0.88772,0.85795,0.8914,0.86311,0.88823,0.85818,0.86947,0.88811,0.88839,0.88764,0.88988,0.86763,0.88118,0.87718,0.85788,0.88584,0.83537,0.83894,0.84046,0.85794,0.82146,0.84173,0.87195,0.8681,0.86438,0.86416,0.88011,0.84808,0.88852,0.85592,0.86665,0.84702,0.85103,0.87742,0.86582,0.87224,0.84562,0.86751,0.86972,0.83752,0.86196,0.8574,0.88324,0.80377,0.86934,0.83531,0.86852,0.86092,0.86669,0.8563,0.86108,0.86947,0.86331,0.87268,0.82117,0.86803,0.83556,0.86578,0.82238,0.86919,0.7731,0.87809,0.8038,0.88787,0.85685,0.88206,0.83511,0.84939,0.83934,0.86874,0.87925,0.83051,0.8246,0.86729,0.88349,0.86517,0.86385,0.85769,0.85438,0.85702,0.81148,0.82513,0.85099,0.87178,0.87438,0.88336,0.8599,0.83139,0.874,0.8179,0.85529,0.856,0.83722,0.83801,0.82715,0.88331,0.85948,0.88504,0.87738,0.84893,0.8763,0.87475,0.86573,0.86586,0.86696,0.83872,0.82523,0.84693,0.86288,0.86653,0.83599,0.86261,0.87035,0.88016,0.88745,0.86894,0.86988,0.8683,0.90013,0.88895,0.87178,0.87053,0.87586,0.88384,0.87432,0.88241,0.89005,0.88918,0.87998,0.86842,0.85766,0.85894,0.85024,0.88648,0.89641,0.85598,0.88941,0.85444,0.86292,0.87471,0.87375,0.8692,0.85532,0.8709,0.87419,0.87468,0.85662,0.87832,0.85556,0.84344,0.86015,0.86622,0.88206,0.87685,0.84855,0.88681,0.82999
"Q8NEJ0",0.8796,0.87769,0.87919,0.88148,0.83358,0.84306,0.80945,0.83444,0.84891,0.52125,0.56632,0.54136,0.55573,0.62242,0.85307,0.71753,0.3906,0,0.20792,0.54633,0.56339,0.62131,0.51359,0.8337,0.73781,0.78472,0.77457,0.73847,0.73676,0.67637,0.64988,0.65664,0.60874,0.64209,0.80446,0.8591,0.857,0.86561,0.83558,0.81824,0.86017,0.59638,0.5912,0.55911,0.677,0.73109,0.87988,0.88814,0.89078,0.89295,0.8767,0.88433,0.87029,0.86517,0.8879,0.8985,0.88863,0.89683,0.85147,0.87885,0.8915,0.87554,0.87993,0.85547,0.8726,0.86391,0.79859,0.81023,0.84225,0.85095,0.84338,0.8389,0.83503,0.87384,0.85642,0.85911,0.8536,0.87309,0.85557,0.86052,0.8623,0.86417,0.84294,0.88111,0.86823,0.87194,0.87375,0.86061,0.8657,0.85871,0.87247,0.83686,0.86114,0.86018,0.87339,0.87102,0.87792,0.84737,0.86329,0.86082,0.84434,0.85805,0.86013,0.85987,0.86844,0.85396,0.87126,0.79721,0.86449,0.81084,0.87247,0.8667,0.83961,0.88897,0.86507,0.87383,0.86177,0.87391,0.84398,0.82845,0.87063,0.87943,0.87451,0.8739,0.86653,0.84467,0.84705,0.85787,0.85573,0.85498,0.84471,0.85148,0.86202,0.84851,0.84484,0.84307,0.84922,0.84099,0.82576,0.8324,0.86207,0.82074,0.88042,0.85808,0.84046,0.86787,0.8757,0.85526,0.86293,0.85843,0.85126,0.86198,0.8345,0.85164,0.83906,0.83469,0.87308,0.83136,0.87332,0.88691,0.87573,0.86879,0.87567,0.88738,0.88983,0.88121,0.88301,0.84012,0.87055,0.88817,0.88229,0.85529,0.86519,0.87216,0.87816,0.8724,0.88021,0.88717,0.85439,0.85806,0.89072,0.87828,0.88889,0.88401,0.84459,0.86724,0.8723,0.88459,0.87568,0.85565,0.87197,0.86315,0.8769,0.85605,0.86947,0.86484,0.86991,0.87725,0.85692,0.82488,0.86467,0.87422,0.88681,0.82925
"Q9H596",0.88758,0.8996,0.89309,0.89227,0.82456,0.84271,0.86362,0.86561,0.84595,0.52866,0.58393,0.56321,0.54377,0.65008,0.84686,0.76593,0.35954,0.20792,0,0.57076,0.59282,0.60217,0.51632,0.81458,0.79605,0.8575,0.77964,0.76286,0.72415,0.68083,0.65283,0.65748,0.59598,0.6214,0.79194,0.84208,0.84815,0.81469,0.81166,0.8014,0.86301,0.62198,0.59238,0.60778,0.76668,0.72887,0.86299,0.8791,0.87509,0.89767,0.88139,0.88582,0.85928,0.87937,0.86964,0.88837,0.86937,0.87545,0.89245,0.89231,0.88073,0.87818,0.87865,0.83637,0.8389,0.84862,0.84017,0.84649,0.86837,0.85303,0.84846,0.85041,0.84162,0.85829,0.88133,0.88026,0.87271,0.87385,0.84328,0.85932,0.87256,0.86459,0.85581,0.87583,0.87215,0.87673,0.87505,0.87377,0.8555,0.88549,0.83163,0.87043,0.82204,0.88434,0.86704,0.86837,0.88437,0.86024,0.85764,0.87464,0.87726,0.84816,0.88623,0.86124,0.8792,0.85109,0.8744,0.80691,0.84999,0.82647,0.875,0.86641,0.86573,0.87667,0.8662,0.88832,0.87799,0.87561,0.85441,0.84439,0.8401,0.88692,0.8678,0.86082,0.88468,0.84651,0.83733,0.84296,0.83298,0.85223,0.86907,0.87709,0.87615,0.87424,0.81227,0.85783,0.83889,0.84262,0.83863,0.84029,0.84992,0.84015,0.88124,0.86693,0.87577,0.86323,0.87323,0.84955,0.86409,0.85676,0.86013,0.87732,0.84219,0.85324,0.87058,0.86274,0.87815,0.83074,0.88944,0.87264,0.88678,0.88195,0.88481,0.89156,0.88289,0.88096,0.88748,0.84289,0.87369,0.85659,0.89309,0.84842,0.86308,0.87992,0.88335,0.87484,0.85094,0.88679,0.84563,0.86135,0.86908,0.88399,0.88433,0.87087,0.85913,0.85585,0.87303,0.89188,0.84033,0.8513,0.879,0.87762,0.8659,0.8673,0.87173,0.86225,0.85496,0.86883,0.87494,0.83886,0.86672,0.86791,0.89696,0.85232
"Q4G0W2",0.89624,0.8989,0.90101,0.89214,0.83036,0.86238,0.82406,0.86556,0.84509,0.55782,0.58936,0.57954,0.52753,0.71009,0.81753,0.6132,0.50842,0.54633,0.57076,0,0.6449,0.6762,0.50758,0.82901,0.78454,0.83347,0.79326,0.73467,0.75071,0.74354,0.7316,0.73616,0.65199,0.70279,0.79323,0.84647,0.83712,0.82614,0.83219,0.71273,0.80614,0.51263,0.53241,0.526,0.71163,0.73089,0.87276,0.86523,0.88204,0.89148,0.8718,0.88791,0.86213,0.89043,0.88082,0.88387,0.88127,0.86796,0.88599,0.8744,0.88235,0.85954,0.87874,0.86209,0.86132,0.84279,0.83055,0.82755,0.84533,0.82677,0.84876,0.87496,0.86184,0.86189,0.87696,0.85442,0.88534,0.85486,0.85146,0.87363,0.86142,0.84294,0.87582,0.85941,0.85778,0.86147,0.87332,0.86606,0.8597,0.86928,0.86645,0.86426,0.86235,0.86389,0.87762,0.86301,0.86555,0.86824,0.85164,0.8655,0.82919,0.85011,0.84007,0.82834,0.82434,0.8453,0.86429,0.8603,0.86286,0.86906,0.87093,0.86321,0.85126,0.86169,0.86802,0.86738,0.8701,0.85258,0.84654,0.84133,0.87332,0.87341,0.88621,0.86345,0.85958,0.81721,0.86949,0.83245,0.84028,0.81383,0.83453,0.84319,0.87645,0.84757,0.83833,0.85358,0.81793,0.78577,0.82585,0.82835,0.84129,0.82272,0.88557,0.86791,0.86246,0.88168,0.84304,0.84956,0.86128,0.86558,0.85911,0.87766,0.85688,0.8454,0.85912,0.84932,0.86111,0.8675,0.87211,0.88898,0.87826,0.8792,0.88148,0.86353,0.88461,0.87866,0.87494,0.83053,0.87772,0.88958,0.89211,0.85757,0.85891,0.88682,0.87389,0.87501,0.85491,0.87715,0.86895,0.84693,0.88636,0.89171,0.88852,0.89382,0.86333,0.84953,0.83123,0.88041,0.87191,0.86478,0.84451,0.84245,0.85111,0.85288,0.85549,0.86364,0.84728,0.84645,0.88296,0.86448,0.8732,0.87445,0.88569,0.85043
"Q9H1R2",0.89441,0.88791,0.88879,0.89889,0.82446,0.8305,0.79153,0.83003,0.84132,0.70728,0.7081,0.70257,0.63698,0.70342,0.85213,0.71119,0.62201,0.56339,0.59282,0.6449,0,0.35526,0.66691,0.77582,0.82557,0.73592,0.83864,0.81747,0.84532,0.69435,0.69509,0.68978,0.70638,0.72124,0.83201,0.86886,0.80901,0.8385,0.83044,0.77579,0.83271,0.6706,0.65534,0.62741,0.71995,0.79737,0.87561,0.88845,0.88271,0.88769,0.875,0.88979,0.83869,0.86209,0.88016,0.89504,0.88617,0.88273,0.87115,0.89352,0.88157,0.83996,0.86972,0.8659,0.82718,0.87862,0.83843,0.87145,0.85358,0.86437,0.86924,0.87856,0.87377,0.88008,0.86041,0.86788,0.87477,0.86163,0.88537,0.86542,0.8751,0.86414,0.86463,0.88659,0.8534,0.85065,0.86922,0.86282,0.88272,0.8755,0.87757,0.8793,0.863,0.85626,0.83873,0.87847,0.87193,0.88412,0.87916,0.86233,0.85772,0.85963,0.8607,0.87287,0.85006,0.85753,0.87056,0.87093,0.87574,0.86207,0.85922,0.84586,0.87308,0.85651,0.85156,0.85676,0.87943,0.82119,0.85755,0.86617,0.8831,0.88488,0.86443,0.86614,0.87523,0.80175,0.85596,0.82847,0.81608,0.84129,0.86202,0.85007,0.86777,0.87014,0.84089,0.85555,0.83158,0.80966,0.8499,0.78917,0.84927,0.7671,0.87181,0.868,0.82818,0.87503,0.88806,0.87777,0.85103,0.87924,0.88374,0.85199,0.84606,0.85337,0.8662,0.84464,0.85596,0.83049,0.87542,0.86881,0.8726,0.87771,0.88125,0.86354,0.87294,0.88218,0.88511,0.86743,0.85399,0.8771,0.88814,0.86538,0.86273,0.8752,0.83241,0.8758,0.8465,0.88721,0.87067,0.88278,0.88087,0.88231,0.88779,0.87867,0.86193,0.87285,0.86987,0.87401,0.87805,0.86922,0.86965,0.84417,0.84338,0.87912,0.87838,0.81236,0.82177,0.82628,0.88979,0.87089,0.86502,0.8774,0.90062,0.83158
"Q9NRW4",0.88233,0.88058,0.89532,0.89953,0.82025,0.83777,0.81432,0.83127,0.84459,0.65215,0.67142,0.65179,0.58,0.65717,0.80532,0.69779,0.62822,0.62131,0.60217,0.6762,0.35526,0,0.70693,0.82197,0.81132,0.75797,0.84304,0.8477,0.82985,0.71274,0.73805,0.68824,0.669,0.70451,0.82812,0.81862,0.83684,0.85749,0.80409,0.81595,0.8511,0.69991,0.66056,0.70227,0.64261,0.83526,0.88046,0.8928,0.8629,0.89207,0.89607,0.88236,0.84889,0.87757,0.87441,0.88311,0.87982,0.86994,0.87286,0.86136,0.87439,0.87594,0.88372,0.86175,0.84714,0.86801,0.84894,0.87628,0.83848,0.8865,0.87576,0.87404,0.87994,0.87443,0.83055,0.85823,0.8813,0.87185,0.86643,0.86473,0.86879,0.85533,0.85505,0.87679,0.88328,0.87501,0.86968,0.85514,0.8743,0.86649,0.88068,0.88443,0.88201,0.84551,0.8691,0.8642,0.87143,0.88808,0.87755,0.8753,0.8427,0.88942,0.83463,0.8646,0.84284,0.88556,0.85726,0.87018,0.87246,0.86651,0.87681,0.86454,0.86441,0.87238,0.85579,0.87711,0.87287,0.86303,0.87301,0.88875,0.88343,0.86167,0.8705,0.88221,0.86502,0.77821,0.86049,0.82056,0.84342,0.84401,0.86954,0.8612,0.86709,0.88394,0.86108,0.86793,0.79752,0.84183,0.83994,0.83917,0.84823,0.80825,0.89856,0.86302,0.8442,0.85263,0.87353,0.87669,0.87034,0.86908,0.86787,0.87015,0.85934,0.87257,0.85601,0.83739,0.8842,0.87203,0.88232,0.86963,0.85394,0.88101,0.8926,0.88752,0.87277,0.88372,0.88741,0.85287,0.84233,0.89207,0.89123,0.85545,0.87894,0.87382,0.84734,0.87857,0.87974,0.86699,0.86243,0.86737,0.88596,0.89054,0.88347,0.87848,0.85426,0.84838,0.88126,0.87407,0.84772,0.86191,0.86658,0.87377,0.87795,0.85655,0.86905,0.84663,0.8472,0.86556,0.86779,0.88246,0.86121,0.88911,0.89006,0.83168
